year,Contribution of hours worker,Contribution of labor quality,Contribution of capital stock,Contribution of capital quality,Contribution of TFP(Cycle),Contribution of TFP(Trend)
1988,0.7908954699310718,0.2273977006451269,9.87234887950503,0.12758365993827533,6.448693274083342,-7.5428882414837854
1989,-0.2764133062641713,0.331261845979302,6.86603054463371,-0.062045369627825336,-16.28891023374106,-3.150207317776203
1990,0.3690850602212174,0.4316100745513736,5.878172229615745,-0.011441312046772841,1.6518945800589262,2.2742645297847126
1991,1.1911914847197618,0.13247767351309417,8.050082904406306,0.11853530148977659,9.153378481428945,7.156092587653724
1992,0.7247679795911405,0.16968543596778426,6.792682259643019,0.23078280972331916,4.793323639970112,10.185145275095024
1993,0.6224731467894687,0.2031368308401483,7.111498072782707,0.5974861368387909,-5.823578093818768,11.51583156840144
1994,0.9654838557923854,0.24725629263411625,9.111196642512983,0.25171700111038753,7.014317610457384,12.06949222626101
1995,0.8667352002177674,0.278875900510838,10.86826908539565,0.17220135302914086,-9.162961655313314,11.83569551235077
1996,1.7909627665401555,0.21738482048736224,6.1560134660155725,0.03449087844875402,0.43034267265076487,11.926300508020935
1997,-0.6490216423070924,0.18524484259556853,4.693956339554981,0.016747149783570454,2.049655479079245,11.987092429771597
1998,-3.503816128747153,0.159223606583984,2.1263084528736433,0.0411571573273318,0.05581068420427293,11.732711321726972
1999,-0.8005127953439533,0.13474524697767654,2.334742403406067,0.1523523374302034,-1.1499918662601054,11.20574210466395
2000,0.15014569514238435,0.12027627471704568,2.4117470325997052,0.07170749364536866,4.540926750222061,10.45769940883211
2001,2.0493227462137122,-0.4763490104444533,3.3242640190360646,0.15319092048979624,-3.7313950249575765,9.356099165879424
2002,2.5263228184976736,-0.427755796133979,3.6512775187951965,0.12470867841856928,-1.1689326573556347,8.495005587489391
2003,2.385537002452112,-0.37606114100316884,5.784232499326775,0.27156349778332345,2.190962704359457,7.871459681352302
2004,3.662592953886248,-0.31379714514105145,9.907420368307596,-0.5579358153406724,-1.8896347803444966,7.295473229981542
2005,3.446646935444337,-0.2670205792004216,8.735563718860737,0.6797831681858905,-1.317538871872288,6.927612048588006
2006,1.765126059389134,0.6323669841214549,7.753565861556002,0.2540007300193513,2.2742024738213864,6.626100387527474
2007,1.6409541760354036,0.7049458073501736,8.775808705851569,0.3055510575185399,4.589335730804411,6.03835627765616
2008,0.674645948354482,0.8257184480033753,12.178946961119921,0.41226814703926673,-3.518826277232355,5.175670145641703
2009,-0.4240435141342809,1.0824751731046638,8.258656096932626,0.3298846766811497,-4.840430297274969,4.7836261350804525
2010,1.9239104154209739,1.4381545877589414,11.417161821346161,0.24584348023073888,1.4879047401087329,5.0447961852115775
2011,0.2879301154546951,0.43339443265688876,7.291128970335853,0.09650159548771725,2.391611587977021,5.367283387710259
2012,-1.2924212000758002,0.33763711314479916,5.905625622491082,0.11439994752825776,2.1066956189436343,5.397255592669074
2013,-0.15365896785267175,0.23707773273105417,6.62128201733799,-0.014616357320938961,-1.2368304986422536,5.163538504256926
2014,1.5413125654126603,0.1054509103932926,4.287840448826078,-0.07367497893731427,-2.090332645970264,5.0320291256737
2015,-1.6990343724468404,0.04089190770935431,1.4768121929940872,-0.1196379625882318,0.7094198239890028,5.170731580336523
2016,-1.1434435500552536,0.794436014795478,2.345199865534102,-0.10345138382756132,0.01325701807387425,5.413196768307279
2017,-1.1413567411078551,0.46320045274951155,2.3349925765825246,-0.1150396663795606,0.3176300325503467,5.706482761486091
