year,labor contribution,capital contribution,TFP contribution (Trend),TFP contribution (Cycle)
1981,-0.49742314268125204,6.252069077764268,2.1372241192674837,1.0005545354128373
1982,-1.007001444669925,-2.9284776277029367,1.6340737388334006,-1.262572549673637
1983,-0.7174603789568896,2.2077405899262015,1.2910120840653712,-0.020888182499107996
1984,0.5694486714936288,2.7012390821073287,1.0661162726816678,2.8946401502337302
1985,-3.9715495208102496,-1.1330699503977482,0.9141213132007048,-3.3892384000669304
1986,-1.1480251832762074,11.397316765679026,1.252904638178294,-3.4343592204408466
1987,4.542617352288696,5.823294929945123,1.958065536159538,3.7634267725342547
1988,6.340599105659655,7.224264423586929,2.355705820419004,0.9104781311771316
1989,1.6157211426962617,3.8840003727111787,2.3740755878367397,1.4762744441924758
1990,1.8032431492248508,4.538578888168894,2.087101436281135,0.6430927363279847
1991,0.8047262102581103,6.49046962177909,1.8049138746913767,-3.8008789973055115
1992,0.015349324422923175,1.3812215089241013,1.9405382498191286,-1.067447022515685
1993,-0.3829496352816836,5.898104575242556,2.298859268847173,1.4128801535904516
1994,1.2063057960432189,6.207009567031773,2.5139701153557827,2.023030697523482
1995,0.5052542999901629,7.922938733425444,2.4460247974997027,-1.3070659850642021
1996,-0.2335443777650186,-0.04067098167806469,2.2788622350374363,0.72734245575564
1997,-0.15439747680087082,1.541627759029088,1.987190790117214,0.8344611122109418
1998,-1.6268110160039289,3.5145591836584114,1.6620936178081664,-4.28126324088578
1999,-1.4599211525550118,7.706877193611317,1.528167651133176,4.4745929627767325
2000,0.5532042483733459,10.8355712934742,1.1250077045734008,1.5895458258623194
2001,0.060675409516031606,-8.70574830319833,0.7081434666542769,-4.39860291960829
2002,1.2228516766285409,6.981888156198547,0.7874319580392112,-0.8630485757852189
2003,-0.5941256005176727,2.8575464814939604,1.168953732254285,-0.4800246508669741
2004,0.5443490354246455,7.659978731710279,1.5207015706999438,3.2424535757342596
2005,0.9063505272505298,6.413432326934271,1.4338643106379185,0.33059265845123526
2006,0.9082086259115838,8.071571107467806,1.0184233614474223,1.2649209260964314
2007,1.6525518384126376,2.9455908193021125,0.437254957859866,0.7356913762117832
2008,2.7132054158389334,-3.601402865590085,0.05562268278209012,-3.446140012822786
2009,-1.4058273710594014,4.717538938162775,0.35650073931481974,-7.907095508608651
2010,-0.24558989554843041,14.970022854988857,1.271480928507135,9.990458358139348
2011,0.3091223975658602,4.880136029936222,1.4670197700307315,0.8616738674343128
2012,0.46999783137589507,0.9178689174838326,1.2080471208596004,-2.2773148132302508
2013,-0.009451883554999362,-0.5801202834882464,0.8973606567572241,1.3496757818378669
2014,-0.6614997552109984,3.4328762528842627,0.5733876833702444,-0.6970082782191086
2015,-1.0416420104914184,-1.6205776095083562,0.49050363143936176,-3.0922322302556484
2016,-1.162561729635171,3.0235201292630496,0.7915626071902193,0.9816370114387853
2017,-0.19703230734944258,6.734089687780684,1.124661560007556,2.237814944168895
2018,-0.2615599330964227,6.781920156437147,1.2949593611063162,-1.022635491427034
2019,-0.16534382001632714,-1.7824118500766193,1.4656652727684671,-0.9836978858352954
2020,-0.6895127884565938,8.087694071754003,1.636366878647651,-1.7739220811378176
2021,-1.21548069218753,6.619566798211081,1.6492601006638625,5.436676406152921
2022,0.45046526938292647,0.5489344372685269,1.0627133277550456,0.601848761426604
2023,0.36972892885710507,0.4896014943710251,0.30496317384361143,-5.486634065616991
2024,-0.9124371099325332,2.9780717923330533,-0.09945794531977216,2.208306467175315
